cod_material,nr_qtd_estoque,ds_classe_estoque,ds_tipo_estoque
8ef0b415bbdfc57f81b38e39052ecb03b5e14d60c4a16110a28bb0d36eae593e,5.0,Utilização Livre,Matéria Prima
18ef29c7ee383b47d5b9975ec02ddaa69a5abd43ec22ce64da23f1b5c9e80771,1.0,Utilização Livre,Matéria Prima
2f753539a73de80ab66af24dc59f6a2ec8922ad551d77a59c6983972d41c2ae3,3.0,Utilização Livre,Matéria Prima
f2b71a46b842f9cac041aedb464c8628116b53182707b142db0a8150ecf497c7,48636.0,Utilização Livre,Matéria Prima
fa6781df5d9461b9b0ba2e7d0a973743e480a5efb2de4f1102f767b2e03d205d,68.0,Bloqueado,Matéria Prima
b8841b3d759d188d9e86932a98f83ef55d894c20e12fce9d323c300c3f26a157,6.0,Utilização Livre,Matéria Prima
f5e7f16db8f25b26c915a2dee8c2c347f05c1d0ef5582654461780588a10b049,2.0,Utilização Livre,Matéria Prima
eb1d3cd0c59c005ac5f19b47c777e870c4d2e664b4cef5e4e83e750124d11773,10.0,Utilização Livre,Produto em Elaboração
d9435e182406943f4107636573a98bdc7d8855ec254cc6f0224269dde52513b8,8.0,C/ Cliente,
2856e96d8ed7678630ae30f07880e38620acc56959dae4ad40bad224c065a435,542.0,Utilização Livre,Produto em Elaboração
39744ac833359aea4fbbae00b57ee1dec0bf10f2f70a1f8c2a7575ddc02cfdb2,122.0,Utilização Livre,Produto Pronto
e128425df254b98dd41d2dd15cfecf3ed7e88f67515a7af9e935da68ed26e8c8,2.0,Utilização Livre,Matéria Prima
bb857c740effbdb5371975104a9f8b091a79cdb5bce7713c3bfe1557c3d89b54,29.906,Utilização Livre,Matéria Prima
300db44aaa1af6f7f5838f621b9baf5c00ee65fbf5129bab11054c1d01eec259,11.0,Utilização Livre,Matéria Prima
49e8ed6d8e7940790bff5cf7a64bf145163cf23879fd63a2b2678b76c9a5ae0b,507.0,Utilização Livre,Matéria Prima
4205489e14559b6f03331cad148004254de1bb0ce8d61e2d476805f9cb7a5802,2.0,Utilização Livre,Produto em Elaboração
f1e28252fd3e6e2a8154b5d803731899ab0cc4ab2b6f205eeb5d85edd3546a93,1.0,Utilização Livre,Matéria Prima
42305539f3a8df63fa36dc085b066223ddf6c71be3448e814c6a5f37c8a84e0b,198.0,Utilização Livre,Matéria Prima
4046176da04651fe5a59a825690c387eb04baabb1a9a6a7ed234af9dcb04fb24,1.0,C/ Cliente,
025f55f210017e0ff5fba662de44b68cb3e2bc8dc91cb5b7757d25b10cbecdb9,2900.0,Utilização Livre,Matéria Prima
