,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
29,frozenset({10024613}),frozenset({10032109}),0.019811388227601076,0.050049554013875126,0.0034279116814647554,0.17302733367715317,3.457120389707872,0.0024363605362775855,1.1487083971107552,0.725107304118079
30,frozenset({10027058}),frozenset({10032109}),0.038703217434839024,0.050049554013875126,0.017982487509323308,0.4646251319957762,9.283302142252241,0.01604540873780758,1.7743650342186594,0.9282041988144184
31,frozenset({10032109}),frozenset({10027058}),0.050049554013875126,0.038703217434839024,0.017982487509323308,0.3592936613248954,9.283302142252241,0.01604540873780758,1.500370332768979,0.9392907952767109
32,frozenset({10035289}),frozenset({10027058}),0.015831741133918446,0.038703217434839024,0.004112472285512859,0.25976121329461116,6.711618064620771,0.003499732966034728,1.2986306578768239,0.864694248002985
33,frozenset({10027058}),frozenset({10035289}),0.038703217434839024,0.015831741133918446,0.004112472285512859,0.10625659978880678,6.7116180646207715,0.003499732966034728,1.1011754141440604,0.8852673263274222
34,frozenset({10027058}),frozenset({10035291}),0.038703217434839024,0.014421750636028323,0.0036526927753312965,0.09437697993664203,6.544072375018749,0.003094524624674064,1.0882875407639483,0.881299063374846
35,frozenset({10035291}),frozenset({10027058}),0.014421750636028323,0.038703217434839024,0.0036526927753312965,0.2532766560396741,6.544072375018749,0.003094524624674064,1.2873533288337047,0.8595866991247532
36,frozenset({10027058}),frozenset({10035299}),0.038703217434839024,0.015019463999264352,0.0037753006447130465,0.09754487856388597,6.494564557607627,0.0031939990637947814,1.0914454498671309,0.8800872990572326
37,frozenset({10035299}),frozenset({10027058}),0.015019463999264352,0.038703217434839024,0.0037753006447130465,0.2513605442176871,6.494564557607627,0.0031939990637947814,1.284058401063868,0.8589256924763725
38,frozenset({10027058}),frozenset({10035311}),0.038703217434839024,0.012184157019811388,0.0031622612978042973,0.08170538542766631,6.7058710171588976,0.002690695219406317,1.0757068889489592,0.8851344936688484
39,frozenset({10035311}),frozenset({10027058}),0.012184157019811388,0.038703217434839024,0.0031622612978042973,0.25953878406708597,6.705871017158898,0.002690695219406317,1.2982405585605372,0.8613720330039005
40,frozenset({10036714}),frozenset({10027058}),0.025129504562034475,0.038703217434839024,0.006350065901729793,0.2526936369180728,6.529008533812708,0.005377473222635593,1.2863489862453827,0.8686665481074688
41,frozenset({10027058}),frozenset({10036714}),0.038703217434839024,0.025129504562034475,0.006350065901729793,0.16407074973600846,6.529008533812708,0.005377473222635593,1.1662117280022148,0.8809323025758832
