ID,Rodada,Data,Horário,Dia,Mandante,Visitante,Vencedor,Arena,Mandante Placar,Visitante Placar,Estado Mandante,Estado Visitante,Estado Vencedor,Período Ocorrido
69,8,2000-08-20,17h00,Domingo,Vasco,Ponte preta,Vasco,São Januário,2,1,RJ,SP,RJ,tarde
70,9,2000-08-23,20h30,Quarta-feira,América-mg,Athlético-pr,-,Independência,0,0,MG,PR,-,noite
71,9,2000-08-23,20h30,Quarta-feira,Internacional,Guarani,-,Beira Rio,0,0,RS,SP,-,noite
72,9,2000-08-23,20h30,Quarta-feira,Goiás,Santa cruz,-,Serra Dourada,1,1,GO,PE,-,noite
73,9,2000-08-23,20h30,Quarta-feira,Juventude,Santos,-,Alfredo Jaconi,1,1,RS,SP,-,noite
74,9,2000-08-23,20h30,Quarta-feira,Bahia,Cruzeiro,Cruzeiro,Fonte Nova,1,3,BA,MG,MG,noite
75,9,2000-08-23,22h00,Quarta-feira,Vitória,Fluminense,Fluminense,Barradão,2,4,ES,RJ,RJ,noite
76,9,2000-08-23,20h30,Quarta-feira,Ponte preta,Gama,Ponte preta,Canindé,3,0,SP,DF,SP,noite
77,10,2000-08-26,15h45,Sábado,Athlético-pr,São paulo,Athlético-pr,Joaquim Américo,2,1,PR,SP,PR,tarde
78,10,2000-08-26,15h45,Sábado,Guarani,Botafogo-rj,Botafogo-rj,Brinco de Ouro,1,2,SP,RJ,RJ,tarde
79,10,2000-08-26,18h00,Sábado,Cruzeiro,Vitória,Cruzeiro,Mineirão,3,1,MG,ES,MG,tarde
80,10,2000-08-26,18h00,Sábado,Fluminense,Juventude,Fluminense,Maracanã,2,0,RJ,RS,RJ,tarde
81,10,2000-08-27,17h00,Domingo,Internacional,Coritiba,-,Beira Rio,1,1,RS,PR,-,tarde
82,10,2000-08-27,18h30,Domingo,Portuguesa,Vasco,-,Canindé,2,2,SP,RJ,-,tarde
83,10,2000-08-27,17h00,Domingo,Bahia,Santa cruz,Bahia,Fonte Nova,3,2,BA,PE,BA,tarde
84,10,2000-08-27,17h00,Domingo,Corinthians,Grêmio,Grêmio,Pacaembu,1,2,SP,RS,RS,tarde
85,10,2000-08-27,18h30,Domingo,Santos,Palmeiras,Palmeiras,Vila Belmiro,2,3,SP,SP,SP,tarde
86,10,2000-08-27,16h00,Domingo,Ponte preta,Atlético-mg,Ponte preta,Moisés Lucarelli,3,2,SP,MG,SP,tarde
87,10,2000-08-27,18h30,Domingo,Sport,Goiás,Sport,Ilha do Retiro,2,0,PE,GO,PE,tarde
88,11,2000-08-30,22h00,Quarta-feira,Botafogo-rj,Athlético-pr,Athlético-pr,Maracanã,0,2,RJ,PR,PR,noite
89,11,2000-08-30,20h30,Quarta-feira,Guarani,Juventude,Juventude,Brinco de Ouro,1,2,SP,RS,RS,noite
90,11,2000-08-30,20h30,Quarta-feira,Portuguesa,Gama,Portuguesa,Canindé,3,1,SP,DF,SP,noite
91,11,2000-08-30,20h30,Quarta-feira,Corinthians,Santos,Santos,Pacaembu,0,3,SP,SP,SP,noite
92,11,2000-08-30,20h30,Quarta-feira,Vitória,Internacional,Vitória,Barradão,3,0,ES,RS,ES,noite
93,12,2000-09-02,15h45,Sábado,Coritiba,Bahia,-,Couto Pereira,1,1,PR,BA,-,tarde
94,12,2000-09-02,15h45,Sábado,Santos,Cruzeiro,-,Vila Belmiro,1,1,SP,MG,-,tarde
95,12,2000-09-02,18h00,Sábado,Grêmio,Ponte preta,-,Olímpico Monumental,2,2,RS,SP,-,tarde
96,12,2000-09-02,16h00,Sábado,Santa cruz,Portuguesa,-,Arruda,0,0,PE,SP,-,tarde
97,12,2000-09-02,16h00,Sábado,América-mg,Guarani,América-mg,Independência,1,0,MG,SP,MG,tarde
98,12,2000-09-02,15h45,Sábado,Atlético-mg,Flamengo,Flamengo,Mineirão,1,2,MG,RJ,RJ,tarde
99,12,2000-09-02,16h00,Sábado,Fluminense,Botafogo-rj,Fluminense,Maracanã,1,0,RJ,RJ,RJ,tarde
100,12,2000-09-02,15h45,Sábado,Gama,Internacional,Internacional,Mané Garrincha,0,1,DF,RS,RS,tarde
101,12,2000-09-02,18h00,Sábado,Palmeiras,São paulo,São paulo,Morumbi,0,3,SP,SP,SP,tarde
102,12,2000-09-02,15h45,Sábado,Vitória,Sport,Vitória,Barradão,4,3,ES,PE,ES,tarde
103,13,2000-09-05,20h30,Terça-feira,Vasco,Athlético-pr,-,São Januário,2,2,RJ,PR,-,noite
104,13,2000-09-05,20h30,Terça-feira,Cruzeiro,Internacional,-,Mineirão,1,1,MG,RS,-,noite
105,13,2000-09-06,20h30,Quarta-feira,Gama,Santa cruz,-,Bezerrão,1,1,DF,PE,-,noite
106,13,2000-09-06,22h00,Quarta-feira,América-mg,Botafogo-rj,América-mg,Mineirão,5,2,MG,RJ,MG,noite
107,13,2000-09-06,20h30,Quarta-feira,Fluminense,Portuguesa,Fluminense,Maracanã,2,1,RJ,SP,RJ,noite
108,13,2000-09-06,20h30,Quarta-feira,Juventude,Coritiba,Juventude,Alfredo Jaconi,2,1,RS,PR,RS,noite
109,13,2000-09-07,15h45,Quinta-feira,Atlético-mg,Corinthians,Atlético-mg,Mineirão,3,1,MG,SP,MG,tarde
110,13,2000-09-07,18h00,Quinta-feira,Grêmio,Sport,Grêmio,Olímpico Monumental,1,0,RS,PE,RS,tarde
111,13,2000-09-07,18h00,Quinta-feira,Ponte preta,Vitória,Ponte preta,Moisés Lucarelli,2,1,SP,ES,SP,tarde
112,14,2000-09-09,18h00,Sábado,Sport,Guarani,-,Ilha do Retiro,1,1,PE,SP,-,tarde
113,14,2000-09-09,18h00,Sábado,Goiás,América-mg,Goiás,Serra Dourada,2,0,GO,MG,GO,tarde
114,14,2000-09-09,15h45,Sábado,Santa cruz,Santos,Santos,Arruda,0,1,PE,SP,SP,tarde
115,14,2000-09-09,15h45,Sábado,São paulo,Fluminense,São paulo,Morumbi,2,0,SP,RJ,SP,tarde
116,14,2000-09-10,18h30,Domingo,Flamengo,Palmeiras,-,Maracanã,0,0,RJ,SP,-,tarde
117,14,2000-09-10,17h00,Domingo,Corinthians,Vitória,-,Pacaembu,1,1,SP,ES,-,tarde
118,14,2000-09-10,18h30,Domingo,Bahia,Vasco,Bahia,Fonte Nova,3,1,BA,RJ,BA,tarde
119,14,2000-09-10,17h00,Domingo,Coritiba,Ponte preta,Coritiba,Couto Pereira,2,0,PR,SP,PR,tarde
120,14,2000-09-10,17h00,Domingo,Cruzeiro,Gama,Cruzeiro,Mineirão,2,1,MG,DF,MG,tarde
121,14,2000-09-10,18h30,Domingo,Juventude,Grêmio,Juventude,Alfredo Jaconi,4,3,RS,RS,RS,tarde
122,14,2000-09-10,18h30,Domingo,Portuguesa,Atlético-mg,Portuguesa,Canindé,2,1,SP,MG,SP,tarde
123,15,2000-09-13,20h30,Quarta-feira,Ponte preta,São paulo,-,Moisés Lucarelli,3,3,SP,SP,-,noite
124,15,2000-09-13,22h00,Quarta-feira,Cruzeiro,Botafogo-rj,Cruzeiro,Mineirão,4,0,MG,RJ,MG,noite
125,15,2000-09-13,20h30,Quarta-feira,Gama,Palmeiras,Gama,Mané Garrincha,2,0,DF,SP,DF,noite
126,15,2000-09-13,20h30,Quarta-feira,Portuguesa,Bahia,Portuguesa,Canindé,3,1,SP,BA,SP,noite
127,15,2000-09-13,20h30,Quarta-feira,Sport,Athlético-pr,Sport,Ilha do Retiro,4,1,PE,PR,PE,noite
128,15,2000-09-13,20h30,Quarta-feira,Vasco,Fluminense,Vasco,Maracanã,4,3,RJ,RJ,RJ,noite
129,15,2000-09-13,20h30,Quarta-feira,Vitória,Coritiba,Vitória,Barradão,3,1,ES,PR,ES,noite
130,15,2000-09-14,20h30,Quinta-feira,Flamengo,Goiás,Flamengo,Maracanã,3,1,RJ,GO,RJ,noite
131,15,2000-09-14,20h30,Quinta-feira,Grêmio,América-mg,Grêmio,Olímpico Monumental,2,1,RS,MG,RS,noite
132,16,2000-09-16,15h45,Sábado,Atlético-mg,Fluminense,-,Mineirão,2,2,MG,RJ,-,tarde
133,16,2000-09-16,16h00,Sábado,Vitória,Gama,-,Barradão,1,1,ES,DF,-,tarde
134,16,2000-09-16,15h45,Sábado,Internacional,Santos,-,Beira Rio,1,1,RS,SP,-,tarde
135,16,2000-09-16,18h00,Sábado,Botafogo-rj,Ponte preta,Botafogo-rj,Caio Martins,3,1,RJ,SP,RJ,tarde
136,16,2000-09-16,18h00,Sábado,Athlético-pr,Juventude,Juventude,Joaquim Américo,0,1,PR,RS,RS,tarde
137,16,2000-09-17,18h30,Domingo,Coritiba,Corinthians,-,Couto Pereira,1,1,PR,SP,-,tarde
138,16,2000-09-17,17h00,Domingo,Grêmio,Cruzeiro,-,Olímpico Monumental,0,0,RS,MG,-,tarde
139,16,2000-09-17,18h30,Domingo,Guarani,Goiás,-,Brinco de Ouro,0,0,SP,GO,-,tarde
140,16,2000-09-17,17h00,Domingo,Palmeiras,Sport,-,Pq. Antarctica,1,1,SP,PE,-,tarde
141,16,2000-09-17,16h00,Domingo,América-mg,Santa cruz,América-mg,Independência,1,0,MG,PE,MG,tarde
142,16,2000-09-17,18h30,Domingo,Bahia,Flamengo,Bahia,Fonte Nova,4,1,BA,RJ,BA,tarde
143,16,2000-09-17,16h00,Domingo,São paulo,Portuguesa,São paulo,Morumbi,2,0,SP,SP,SP,tarde
144,17,2000-09-20,20h30,Quarta-feira,Juventude,Gama,Gama,Alfredo Jaconi,0,2,RS,DF,DF,noite
145,17,2000-09-20,20h30,Quarta-feira,Ponte preta,Portuguesa,Ponte preta,Moisés Lucarelli,3,1,SP,SP,SP,noite
146,17,2000-09-20,20h30,Quarta-feira,Santos,Athlético-pr,Santos,Vila Belmiro,2,1,SP,PR,SP,noite
147,17,2000-09-20,20h30,Quarta-feira,Sport,Bahia,Sport,Ilha do Retiro,3,0,PE,BA,PE,noite
148,17,2000-09-20,22h00,Quarta-feira,Vasco,América-mg,Vasco,São Januário,4,0,RJ,MG,RJ,noite
149,18,2000-09-23,16h00,Sábado,América-mg,Internacional,-,Independência,1,1,MG,RS,-,tarde
